,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y
1,33,services,married,secondary,no,4789,yes,yes,11,may,3.67,1,339,4,failure,0
2,35,management,single,tertiary,no,1350,yes,no,16,apr,3.08,1,330,1,failure,0
5,35,management,single,tertiary,no,747,no,no,23,feb,2.35,2,176,3,failure,0
9,43,services,married,primary,no,-88,yes,yes,17,apr,5.22,1,147,2,failure,0
14,31,blue-collar,married,secondary,no,360,yes,yes,29,jan,1.48,1,241,1,failure,0
17,37,admin.,single,tertiary,no,2317,yes,no,20,apr,1.9,1,152,2,failure,0
38,33,management,married,secondary,no,3935,yes,no,6,may,12.75,1,342,2,failure,1
65,51,blue-collar,divorced,secondary,no,203,yes,no,8,may,2.23,1,170,5,failure,0
70,37,management,married,tertiary,no,0,no,no,16,jul,4.47,2,182,3,success,1
79,40,unemployed,married,secondary,no,219,yes,no,17,nov,3.4,2,196,1,failure,0
83,52,services,married,secondary,no,657,no,no,7,jul,6.63,2,460,2,failure,1
97,30,admin.,single,tertiary,no,261,no,no,19,oct,3.88,1,137,20,failure,0
98,36,blue-collar,divorced,secondary,no,2843,no,no,12,feb,7.88,1,182,1,success,0
101,38,management,single,tertiary,no,493,yes,no,11,may,9.22,1,367,7,failure,0
105,32,management,single,tertiary,no,574,yes,no,14,apr,4.32,2,145,3,failure,0
110,21,student,single,secondary,no,2488,no,no,30,jun,4.3,6,169,3,success,1
113,33,blue-collar,single,secondary,no,22,no,no,30,jan,1.27,2,207,1,failure,0
124,51,management,single,tertiary,yes,-55,yes,no,11,may,4.68,2,266,6,failure,0
128,32,blue-collar,single,secondary,no,228,no,no,5,feb,2.93,1,288,3,failure,0
136,29,admin.,single,secondary,no,428,yes,yes,7,may,0.9,1,345,2,failure,0
156,55,admin.,married,secondary,no,602,no,no,1,jun,5.4,3,90,2,success,1
157,55,technician,married,secondary,no,273,yes,no,29,jan,1.4,3,183,3,failure,0
164,28,management,single,tertiary,no,80,no,no,20,oct,11.27,2,146,2,failure,1
177,37,admin.,married,secondary,no,176,yes,no,5,may,2.45,2,347,1,failure,0
179,37,admin.,married,tertiary,no,0,yes,no,17,nov,1.08,2,119,1,failure,0
186,34,admin.,married,tertiary,no,899,yes,no,19,nov,6.28,3,7,4,success,0
188,36,technician,married,secondary,no,23,yes,no,8,may,2.53,2,347,1,failure,0
199,75,retired,married,secondary,no,3771,no,no,15,apr,3.08,1,181,2,success,1
200,34,technician,single,tertiary,no,992,yes,no,4,may,5.02,1,88,2,success,0
202,35,technician,single,tertiary,no,2658,yes,no,19,aug,12.8,2,141,3,failure,1
203,39,management,divorced,tertiary,no,1315,yes,no,19,nov,22.28,4,126,1,failure,0
207,29,technician,married,secondary,no,1599,yes,no,8,jul,1.92,1,61,1,failure,0
208,38,services,single,secondary,no,-196,yes,no,2,feb,1.0,1,271,1,failure,0
217,30,blue-collar,married,secondary,no,975,yes,no,13,may,4.27,2,351,2,failure,0
232,44,technician,single,secondary,no,33,yes,no,13,may,3.25,3,351,10,failure,0
233,45,blue-collar,single,secondary,no,0,yes,no,26,jul,12.8,2,91,5,success,0
249,43,technician,married,secondary,no,0,no,yes,8,may,0.15,2,172,5,failure,0
253,58,retired,married,primary,no,3401,yes,no,3,feb,1.4,3,265,2,failure,0
264,58,technician,married,tertiary,no,883,no,no,18,aug,9.05,1,78,2,failure,0
270,40,services,married,secondary,no,0,yes,no,2,jun,4.95,1,28,3,failure,0
276,35,housemaid,married,tertiary,no,11219,no,no,12,aug,11.65,2,79,1,failure,0
289,34,admin.,married,tertiary,no,69,no,yes,4,aug,2.0,3,1,6,success,1
301,65,retired,divorced,primary,no,1840,no,no,1,jun,6.38,2,188,5,failure,0
310,49,blue-collar,married,secondary,no,8545,yes,yes,6,may,3.32,7,167,1,failure,0
314,25,admin.,single,tertiary,no,760,yes,no,27,may,3.72,3,89,2,failure,1
318,35,entrepreneur,married,secondary,no,2971,no,no,4,may,7.15,4,164,2,failure,1
323,38,management,married,tertiary,no,1199,no,no,4,aug,2.97,1,1,1,success,1
325,33,technician,married,secondary,no,6699,no,no,9,nov,7.08,1,462,1,failure,0
328,35,unemployed,married,secondary,no,978,no,no,29,dec,22.83,3,209,3,success,1
337,33,management,single,tertiary,no,1410,yes,no,5,feb,0.13,1,254,5,failure,0
338,63,retired,married,primary,no,1084,no,no,14,oct,3.35,1,183,1,success,0
340,41,management,married,tertiary,no,832,yes,yes,21,nov,2.73,1,176,1,failure,0
345,36,blue-collar,single,secondary,no,219,yes,yes,11,may,4.5,2,347,1,failure,0
347,55,management,married,primary,no,2587,no,no,4,sep,5.47,2,94,2,success,1
349,47,self-employed,married,tertiary,no,2303,yes,no,6,may,5.38,2,364,1,failure,0
353,50,management,married,tertiary,no,4,no,no,17,nov,3.72,1,96,2,failure,0
354,29,management,married,tertiary,no,318,yes,no,18,may,23.9,2,356,4,failure,0
367,32,management,single,tertiary,no,8436,yes,no,17,apr,4.08,1,149,2,failure,0
374,42,admin.,married,secondary,no,-396,yes,no,11,may,1.33,1,308,4,failure,0
375,30,services,single,secondary,no,0,yes,no,18,may,2.18,6,363,9,failure,0
377,37,management,married,tertiary,no,393,yes,no,14,may,9.45,3,275,4,failure,1
380,39,blue-collar,married,secondary,no,0,yes,no,30,apr,0.88,1,325,1,failure,0
383,37,services,married,secondary,no,1328,yes,no,13,may,2.02,2,341,4,failure,0
394,33,blue-collar,married,secondary,no,43,yes,no,14,may,5.53,2,358,2,failure,0
397,37,technician,single,tertiary,no,6101,no,no,4,may,1.0,5,87,1,success,0
408,44,management,married,secondary,no,438,yes,no,8,may,0.62,3,303,1,failure,0
409,54,admin.,married,secondary,no,0,no,no,28,jan,2.68,1,98,2,failure,1
412,75,retired,divorced,tertiary,no,3810,yes,no,16,nov,4.37,1,183,1,failure,1
421,37,management,married,tertiary,no,502,yes,no,7,may,9.18,1,351,1,failure,0
423,37,management,single,tertiary,no,876,yes,no,15,apr,2.33,4,327,2,failure,0
433,43,blue-collar,married,secondary,no,130,no,no,5,may,2.6,1,337,3,failure,0
459,43,management,divorced,tertiary,no,36,no,no,26,may,1.97,1,102,2,failure,0
464,32,blue-collar,married,secondary,no,889,yes,no,10,sep,3.08,1,99,5,success,1
465,59,housemaid,married,secondary,no,0,no,no,3,feb,12.03,1,99,4,failure,0
477,77,retired,married,tertiary,no,7802,no,no,4,may,7.02,1,92,2,success,1
482,40,technician,married,secondary,no,694,yes,no,4,feb,1.62,4,196,5,failure,0
492,53,admin.,married,secondary,no,1796,no,no,16,mar,4.92,1,91,2,success,1
496,50,housemaid,married,secondary,no,7317,yes,no,13,may,2.87,1,370,1,failure,0
510,38,blue-collar,married,secondary,no,121,yes,yes,6,feb,2.8,1,212,2,failure,0
512,52,technician,married,secondary,no,195,yes,no,18,feb,3.67,1,63,5,failure,1
515,45,unemployed,divorced,primary,no,757,no,no,20,apr,1.72,1,325,4,failure,0
522,43,admin.,divorced,secondary,no,738,yes,no,21,nov,9.75,4,191,4,failure,0
528,43,services,married,primary,no,2567,yes,no,14,may,1.82,1,360,2,failure,0
540,47,admin.,single,secondary,no,3696,no,no,12,jul,4.17,2,181,4,success,1
552,63,retired,married,secondary,no,2747,no,no,11,sep,1.88,1,80,1,failure,0
555,37,admin.,married,secondary,no,1314,yes,no,8,may,11.37,2,85,7,success,0
563,50,technician,married,secondary,no,2497,yes,no,21,nov,0.58,1,176,1,failure,0
565,40,technician,married,secondary,no,56,yes,yes,29,jan,3.23,1,247,1,failure,0
572,53,management,married,tertiary,no,1319,yes,no,16,apr,7.12,1,150,1,failure,0
579,33,technician,single,tertiary,no,696,no,yes,5,feb,3.22,1,176,8,failure,0
596,47,housemaid,married,primary,no,201,yes,no,7,aug,0.97,2,382,1,failure,0
614,39,technician,married,tertiary,no,1161,yes,no,9,apr,3.93,1,336,1,failure,0
619,35,technician,married,tertiary,no,7050,no,no,11,aug,3.7,3,182,4,success,1
623,40,management,single,tertiary,no,1509,no,no,12,may,5.55,1,58,3,failure,0
629,59,management,married,tertiary,no,2764,no,no,24,dec,3.95,1,206,2,failure,0
631,33,technician,married,tertiary,no,8023,no,no,30,nov,1.78,1,105,3,failure,0
647,46,management,divorced,tertiary,no,6269,yes,no,18,nov,4.15,3,112,2,failure,0
649,60,management,married,primary,no,252,yes,yes,13,apr,2.05,2,147,3,failure,0
651,27,entrepreneur,single,tertiary,no,81,no,no,5,feb,3.28,1,199,3,failure,0
657,64,retired,married,primary,no,43,no,no,11,mar,1.95,1,91,1,success,0
658,47,technician,married,secondary,no,57,no,no,5,may,4.22,1,342,1,success,0
665,54,technician,married,secondary,no,0,no,no,16,nov,16.43,1,94,8,failure,0
667,55,management,married,primary,no,621,no,yes,2,feb,1.9,1,208,1,failure,0
671,44,technician,married,secondary,no,310,yes,no,6,feb,3.33,1,253,1,failure,0
684,28,services,single,secondary,no,168,no,no,1,jun,5.78,3,140,2,success,1
685,46,services,married,secondary,no,1550,yes,no,16,apr,2.1,2,149,8,failure,0
699,35,entrepreneur,married,tertiary,no,0,no,no,5,may,1.23,1,168,4,failure,0
713,25,student,single,secondary,no,1790,no,no,17,apr,3.73,1,322,3,failure,0
718,40,blue-collar,married,secondary,no,498,yes,no,8,may,0.92,2,298,4,failure,0
731,48,blue-collar,married,primary,no,1092,no,yes,18,nov,1.32,1,172,8,failure,0
738,36,technician,single,secondary,no,1855,yes,no,4,feb,1.25,1,273,1,failure,0
764,28,services,married,secondary,no,0,yes,no,5,may,5.58,2,281,8,failure,0
765,37,management,divorced,secondary,no,414,no,no,29,jan,4.88,2,162,4,failure,0
769,52,management,married,tertiary,no,1944,yes,no,15,apr,3.97,3,323,2,failure,0
776,28,technician,single,secondary,no,3,no,no,18,may,0.67,8,349,6,failure,0
801,30,blue-collar,single,secondary,no,445,yes,no,16,apr,3.63,1,330,2,failure,0
802,40,management,married,secondary,no,643,yes,no,17,apr,1.23,2,256,1,failure,0
804,40,management,married,tertiary,no,-1212,yes,no,15,may,20.98,2,333,18,failure,0
805,41,technician,married,secondary,no,2125,yes,yes,21,nov,4.75,3,116,4,failure,0
821,31,management,single,tertiary,no,112,yes,no,2,feb,2.65,2,271,1,failure,0
843,59,management,single,secondary,no,671,yes,yes,29,jan,3.65,2,259,5,failure,0
855,46,management,divorced,tertiary,no,624,no,no,17,sep,5.6,2,183,2,success,1
857,36,blue-collar,married,secondary,no,-461,no,no,11,may,4.23,2,353,1,failure,0
858,34,technician,single,tertiary,no,144,yes,yes,14,oct,1.73,1,85,19,failure,0
869,56,technician,married,secondary,no,150,yes,yes,11,may,1.7,6,349,1,failure,0
880,26,admin.,single,secondary,no,255,no,no,30,apr,7.62,1,80,1,success,1
881,31,technician,single,secondary,no,102,yes,no,17,apr,7.67,2,345,2,failure,0
883,45,entrepreneur,married,primary,no,58,yes,no,13,may,1.98,3,371,3,failure,0
891,28,management,single,tertiary,no,882,no,yes,29,jan,1.57,1,205,2,failure,0
892,27,student,single,tertiary,no,5291,no,no,12,nov,3.2,2,92,2,failure,1
893,49,management,single,secondary,no,61,yes,no,29,jan,3.08,2,246,1,failure,0
901,30,technician,single,tertiary,no,3,yes,no,6,may,0.75,2,169,2,failure,0
903,34,admin.,married,tertiary,no,35,yes,no,15,oct,1.27,1,69,2,failure,0
913,41,management,married,tertiary,no,-29,no,no,29,jan,0.68,2,266,2,failure,0
926,38,admin.,married,primary,no,3913,yes,no,20,apr,3.27,2,315,2,failure,0
941,34,management,married,tertiary,no,0,yes,no,7,aug,4.37,1,99,2,success,1
942,36,management,married,tertiary,no,222,yes,no,6,may,5.28,1,169,2,failure,0
960,52,technician,married,secondary,no,196,yes,yes,24,feb,1.93,1,273,3,failure,0
967,35,blue-collar,married,secondary,no,6411,yes,yes,30,jan,2.4,1,266,2,failure,0
970,58,self-employed,married,primary,no,1013,yes,no,11,aug,3.43,1,461,1,failure,1
973,37,technician,single,secondary,no,5436,yes,no,6,may,0.12,11,351,1,failure,0
984,59,self-employed,married,tertiary,no,2013,no,no,19,feb,3.7,4,94,2,success,1
997,34,management,single,tertiary,no,673,yes,yes,20,nov,4.52,1,184,1,failure,0
999,20,student,single,secondary,no,291,no,no,11,may,2.87,5,371,5,failure,0
1020,42,technician,married,secondary,no,994,yes,no,11,aug,2.48,1,78,5,failure,1
1040,55,blue-collar,divorced,secondary,no,1613,yes,no,3,apr,4.93,1,270,3,failure,1
1048,34,services,married,secondary,no,1337,no,no,17,dec,5.5,2,127,3,success,1
1056,63,entrepreneur,married,secondary,no,3904,no,no,4,aug,4.17,2,187,2,success,1
1060,48,management,married,tertiary,no,1147,no,no,5,aug,6.48,1,64,2,success,1
1073,30,management,single,tertiary,no,726,yes,no,16,apr,0.65,1,342,3,failure,0
1077,38,admin.,married,tertiary,no,1988,no,no,27,mar,2.73,2,130,2,failure,1
1083,64,housemaid,married,primary,no,768,no,no,15,jul,4.17,2,182,1,success,0
1097,45,management,divorced,tertiary,no,2096,no,no,21,nov,2.12,1,100,2,failure,0
1100,59,management,married,tertiary,no,1831,no,no,17,feb,2.03,1,92,1,failure,0
1104,37,blue-collar,single,primary,no,851,yes,no,15,may,2.52,1,352,1,failure,0
1106,35,blue-collar,married,secondary,no,137,no,yes,4,oct,0.08,1,808,12,failure,0
1109,59,technician,married,secondary,no,1,no,no,15,apr,2.65,2,378,3,failure,1
1112,35,technician,married,secondary,no,2789,yes,no,4,sep,4.27,2,94,1,failure,0
1117,42,technician,single,tertiary,no,-411,yes,no,12,may,1.3,5,292,3,failure,0
1122,32,technician,married,tertiary,no,4089,no,no,26,may,1.9,7,287,3,failure,0
1129,36,management,single,tertiary,no,243,yes,no,7,may,2.67,2,360,3,failure,0
1154,47,admin.,married,secondary,no,1934,no,yes,14,may,3.75,1,364,1,failure,0
1159,31,management,single,tertiary,no,62,yes,no,18,may,2.92,1,293,5,failure,0
1166,32,technician,single,tertiary,no,5514,no,no,22,apr,5.32,1,182,1,success,1
1167,33,blue-collar,married,secondary,no,889,yes,no,18,sep,0.22,1,373,6,success,0
1173,34,technician,single,secondary,no,2729,yes,no,6,apr,15.75,1,139,1,success,0
1176,50,management,married,tertiary,no,-470,yes,no,8,may,8.43,2,170,3,failure,0
1181,34,services,married,secondary,no,1076,no,no,12,may,2.53,1,182,6,success,1
1186,71,technician,married,tertiary,no,383,no,no,27,oct,5.45,2,183,3,success,0
1193,33,blue-collar,single,secondary,no,706,yes,no,7,apr,5.48,1,322,1,failure,0
1194,36,management,married,secondary,no,1825,yes,no,14,may,0.4,1,346,1,failure,0
1195,59,self-employed,married,tertiary,no,185,no,no,22,jun,2.95,5,138,1,failure,0
1209,58,retired,single,secondary,no,1640,no,yes,4,feb,1.2,6,274,4,failure,0
1210,60,admin.,divorced,secondary,no,174,yes,no,15,may,4.02,1,364,1,failure,0
1212,36,management,single,tertiary,no,490,no,no,28,aug,3.45,8,98,1,failure,1
1225,51,blue-collar,married,secondary,no,160,yes,no,7,may,2.27,1,359,1,failure,0
1240,27,services,married,secondary,no,54,yes,no,18,may,1.62,1,370,1,failure,0
1242,35,blue-collar,married,primary,no,298,yes,no,13,may,2.25,2,370,2,failure,0
1279,32,management,married,tertiary,no,913,yes,no,23,jun,14.72,1,674,4,failure,0
1309,31,management,married,secondary,no,625,yes,no,7,apr,7.07,1,138,1,failure,0
1311,51,services,married,secondary,no,867,yes,no,3,feb,2.95,2,211,3,failure,0
1312,80,retired,married,secondary,no,8304,no,no,9,jun,11.87,1,64,12,failure,1
1320,48,management,married,tertiary,no,60,no,no,7,may,6.27,2,339,7,failure,0
1323,46,blue-collar,married,primary,no,91,yes,no,6,may,0.48,1,356,2,failure,0
1324,41,entrepreneur,married,tertiary,no,171,yes,no,19,nov,3.48,1,191,4,failure,0
1327,33,blue-collar,divorced,primary,no,142,yes,no,11,may,0.68,2,300,5,failure,0
1337,40,management,single,tertiary,no,1509,no,no,15,mar,2.4,2,124,1,failure,0
1342,27,admin.,married,secondary,no,710,yes,yes,6,may,10.88,1,334,2,success,1
1345,40,management,divorced,tertiary,no,69,yes,no,6,may,8.38,2,280,2,failure,0
1346,34,admin.,married,secondary,no,1499,yes,no,13,apr,3.1,1,327,2,failure,0
1349,83,retired,married,primary,no,425,no,no,22,jun,14.72,1,140,1,failure,1
1374,45,self-employed,married,secondary,no,706,no,no,30,apr,1.3,2,176,1,success,0
1382,24,admin.,married,secondary,no,299,yes,no,6,may,3.48,1,321,1,failure,0
1386,50,services,married,secondary,no,254,yes,no,15,apr,6.62,2,337,1,failure,0
1387,25,management,single,tertiary,no,553,yes,no,17,sep,1.88,4,479,1,failure,0
1398,34,technician,single,secondary,no,341,no,yes,29,jan,2.27,1,262,3,failure,0
1421,28,admin.,married,secondary,no,-97,yes,no,29,jan,1.32,1,225,2,success,0
1425,36,management,married,tertiary,no,495,no,no,5,aug,2.62,3,97,2,success,1
1437,77,retired,married,tertiary,no,0,no,no,16,oct,14.12,1,60,1,success,1
1442,73,retired,married,primary,no,1388,no,no,20,jul,2.43,3,190,3,success,0
1444,57,technician,divorced,primary,no,13,yes,no,8,may,5.38,2,368,2,failure,0
1457,33,management,married,tertiary,no,3696,no,no,19,nov,5.08,1,182,3,failure,0
1468,38,management,married,tertiary,no,0,yes,no,13,may,8.95,5,303,2,failure,0
1469,59,technician,married,secondary,no,259,no,no,15,jun,6.92,1,89,1,success,1
1478,35,technician,single,tertiary,no,7546,yes,no,28,dec,2.28,1,122,3,failure,0
1482,39,blue-collar,married,secondary,no,0,yes,no,7,may,8.37,1,7,2,failure,0
1485,29,technician,single,secondary,no,113,no,no,12,feb,5.47,2,183,4,success,1
1510,45,technician,married,secondary,no,1415,yes,no,17,nov,8.05,1,116,1,failure,0
1518,32,technician,married,secondary,no,286,no,no,20,apr,1.0,1,343,4,failure,0
1521,38,blue-collar,married,secondary,no,1663,yes,no,13,apr,3.62,3,327,1,failure,0
1535,37,services,married,secondary,no,4760,yes,no,8,may,3.03,2,169,2,failure,0
1541,43,self-employed,married,secondary,no,634,yes,no,17,nov,1.08,1,131,1,failure,0
1547,54,entrepreneur,married,tertiary,no,1544,no,yes,5,feb,1.42,7,196,3,failure,0
1579,37,management,married,tertiary,no,539,no,no,18,jan,9.0,2,115,3,failure,0
1591,70,retired,married,secondary,no,2815,no,no,26,apr,2.08,2,182,1,failure,0
1600,32,management,married,secondary,no,6217,yes,yes,18,nov,8.1,2,181,2,failure,0
1625,36,services,married,secondary,no,1746,yes,no,7,apr,0.25,1,316,1,failure,0
1628,38,technician,married,secondary,no,821,yes,yes,17,nov,3.73,2,180,1,failure,0
1633,59,blue-collar,married,primary,no,699,no,no,28,jan,1.63,1,154,6,failure,0
1634,42,unemployed,divorced,secondary,no,759,no,no,28,jan,1.62,1,169,3,failure,0
1635,33,blue-collar,married,secondary,no,687,yes,no,14,may,1.2,2,370,1,failure,0
1636,53,retired,married,secondary,no,4968,no,no,6,may,1.82,1,87,2,failure,0
1650,36,admin.,divorced,secondary,no,356,yes,no,7,apr,4.07,3,313,1,failure,0
1653,53,blue-collar,married,primary,no,306,no,no,28,jul,6.47,3,181,1,success,1
1666,32,management,married,tertiary,no,4761,yes,no,5,may,2.65,2,350,2,failure,0
1676,40,admin.,married,secondary,no,168,yes,no,7,may,4.15,2,169,1,failure,0
1695,43,admin.,married,secondary,no,132,no,no,19,aug,9.57,1,84,3,success,1
1698,31,management,single,tertiary,no,3283,no,no,2,feb,4.3,1,73,1,failure,1
1703,40,unemployed,divorced,secondary,no,507,yes,no,2,feb,2.23,1,266,7,failure,0
1713,56,blue-collar,married,secondary,no,2190,no,yes,30,jan,1.5,2,232,1,failure,0
1719,48,management,married,secondary,no,4415,yes,no,8,apr,17.2,3,141,7,failure,1
1729,53,admin.,single,secondary,no,2398,yes,no,2,aug,5.28,1,180,2,failure,1
1736,40,admin.,single,secondary,no,100,yes,no,11,aug,3.68,1,461,1,success,1
1748,49,admin.,married,secondary,no,197,yes,no,13,apr,3.72,1,182,2,failure,1
1750,47,housemaid,single,tertiary,no,3232,no,no,6,oct,9.02,1,204,3,failure,0
1754,29,management,single,tertiary,no,1445,no,no,26,apr,5.47,2,143,2,success,1
1760,35,technician,married,secondary,no,0,yes,no,9,nov,8.73,1,96,5,success,1
1764,29,admin.,single,secondary,no,1992,no,no,8,jul,3.37,1,87,2,failure,0
1767,51,management,single,tertiary,no,297,yes,no,15,may,6.92,4,375,1,failure,1
1786,37,services,single,secondary,no,1175,yes,no,15,may,1.7,1,333,2,failure,0
1810,28,blue-collar,married,secondary,no,373,yes,no,14,may,0.17,9,344,1,failure,0
1827,50,management,married,tertiary,no,4374,yes,no,21,nov,2.72,2,113,3,failure,0
1830,36,services,single,secondary,no,774,yes,no,3,feb,3.85,2,259,1,failure,0
1848,38,blue-collar,married,primary,no,2240,yes,no,19,nov,9.18,1,183,1,failure,0
1862,47,blue-collar,married,secondary,no,1230,yes,no,30,apr,6.87,1,169,1,success,1
1868,42,management,married,primary,no,-679,yes,yes,6,may,2.65,1,343,2,failure,0
1871,34,services,divorced,secondary,no,991,yes,no,6,may,1.48,1,344,1,failure,0
1875,30,blue-collar,single,secondary,no,180,no,no,14,jul,3.38,1,183,2,failure,0
1882,34,technician,single,secondary,no,440,yes,no,6,may,7.42,2,345,2,failure,0
1884,39,technician,married,secondary,no,-735,yes,no,30,jan,2.4,5,248,2,failure,0
1886,39,technician,divorced,secondary,no,902,yes,no,10,feb,11.52,2,180,5,failure,1
1905,46,management,married,tertiary,no,273,yes,no,18,mar,15.17,2,184,4,success,1
1910,54,retired,married,secondary,no,1139,yes,no,14,may,2.58,1,177,7,failure,0
1912,54,blue-collar,married,secondary,no,0,no,no,16,apr,22.77,1,150,1,failure,0
1928,22,student,single,primary,no,3472,no,no,20,oct,5.53,1,183,3,failure,1
1933,49,blue-collar,married,primary,no,474,yes,yes,9,feb,2.53,3,221,1,failure,0
1951,46,entrepreneur,single,tertiary,no,1410,yes,no,19,nov,1.55,1,189,8,failure,0
1952,41,admin.,divorced,secondary,no,6046,yes,yes,15,mar,5.0,6,182,2,success,1
1953,36,admin.,single,tertiary,no,980,no,no,11,nov,1.97,4,104,7,failure,0
1956,77,retired,married,primary,no,680,no,no,24,feb,8.55,2,89,7,failure,0
1970,35,technician,married,secondary,no,-259,yes,no,29,jan,6.35,1,247,2,failure,0
1983,34,technician,single,secondary,no,105,yes,no,7,may,2.43,2,171,3,failure,0
1989,45,blue-collar,married,secondary,no,2926,yes,yes,19,nov,8.03,3,120,2,failure,0
2000,28,blue-collar,married,primary,no,60,yes,no,6,may,2.68,1,337,1,failure,0
2002,32,admin.,single,tertiary,no,1583,yes,no,19,nov,1.67,1,182,1,failure,0
2004,28,blue-collar,single,secondary,no,1065,yes,yes,17,apr,6.77,1,317,1,failure,0
2005,51,unemployed,married,secondary,no,-13,yes,no,13,may,6.02,1,364,1,failure,0
2013,31,blue-collar,single,secondary,no,609,yes,no,14,apr,18.77,1,335,1,failure,0
2015,40,management,single,tertiary,no,0,yes,no,23,feb,3.8,2,182,6,failure,1
2019,51,blue-collar,married,primary,no,42,yes,no,12,may,0.85,2,342,3,failure,0
2032,59,management,married,primary,no,1727,no,no,25,may,8.33,4,358,2,failure,1
2049,59,technician,married,primary,no,4198,no,no,14,jan,5.15,1,91,10,success,1
2050,52,blue-collar,married,primary,no,230,yes,no,6,may,3.3,2,170,2,failure,0
2055,48,technician,married,secondary,no,568,yes,no,2,sep,6.3,2,386,1,success,1
2068,47,technician,married,secondary,no,1167,yes,no,30,apr,16.13,1,87,5,failure,1
2069,38,management,single,tertiary,no,35,yes,no,17,apr,2.6,1,273,3,failure,0
2070,80,retired,married,secondary,no,8304,no,no,6,apr,11.35,1,118,11,success,0
2075,69,retired,married,tertiary,no,473,no,no,7,jul,1.87,1,78,1,failure,0
2103,39,services,married,secondary,no,1970,yes,no,8,jun,0.5,1,404,2,success,0
2104,38,self-employed,divorced,tertiary,no,1513,no,no,7,may,5.5,1,342,1,failure,0
2122,48,unemployed,married,secondary,no,817,no,no,14,jan,8.62,1,282,4,success,1
2123,41,technician,divorced,secondary,no,348,yes,no,7,may,3.75,2,275,2,failure,0
2131,35,housemaid,married,tertiary,no,1265,yes,no,15,may,5.43,5,179,4,failure,1
2151,51,blue-collar,divorced,primary,no,602,yes,no,11,may,5.78,1,284,2,failure,0
2159,33,services,married,secondary,no,386,no,no,12,nov,4.22,1,92,4,failure,1
2176,28,blue-collar,single,secondary,no,-46,yes,no,1,sep,3.32,1,92,14,success,1
2181,32,blue-collar,single,secondary,no,33,yes,no,18,may,2.08,1,368,4,failure,0
