,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y
2185,40,services,married,secondary,no,1438,yes,no,6,may,3.45,1,351,2,failure,0
2188,46,admin.,single,secondary,no,1693,yes,no,25,jan,2.28,1,97,1,success,0
2212,34,management,married,tertiary,no,3301,yes,no,17,jun,8.08,2,227,4,failure,1
2213,24,student,single,secondary,no,822,no,no,27,oct,3.07,1,91,2,failure,1
2220,33,blue-collar,married,secondary,no,139,yes,yes,18,may,12.2,2,291,5,failure,1
2235,46,management,single,tertiary,no,46,no,yes,17,nov,1.33,1,152,1,failure,0
2242,34,admin.,single,secondary,no,10,no,yes,18,nov,2.7,1,173,3,failure,0
2249,49,unemployed,divorced,tertiary,no,780,no,no,8,nov,2.47,1,871,2,failure,0
2251,37,management,married,tertiary,no,238,no,no,3,feb,3.08,1,92,1,success,1
2255,36,management,single,tertiary,no,1531,yes,no,8,may,1.35,3,170,1,failure,0
2263,58,retired,married,secondary,no,502,yes,no,12,may,3.28,2,370,3,failure,0
2266,55,admin.,married,secondary,no,0,no,no,23,sep,3.0,2,238,3,success,0
2271,34,management,single,tertiary,no,171,yes,no,7,may,3.18,1,294,1,failure,0
2293,34,entrepreneur,married,secondary,no,2,yes,yes,5,may,3.07,1,167,6,failure,0
2302,28,technician,single,secondary,no,769,yes,no,15,may,2.55,1,371,2,failure,0
2306,36,technician,married,tertiary,no,6,yes,no,27,jan,1.67,1,435,1,failure,0
2318,53,admin.,married,secondary,no,225,yes,no,20,apr,5.07,1,340,1,failure,0
2335,33,admin.,single,tertiary,no,490,yes,no,7,may,0.52,1,363,2,failure,0
2345,26,services,single,secondary,no,512,yes,yes,30,jan,3.43,5,239,3,failure,0
2359,36,services,single,secondary,no,417,yes,no,6,feb,0.25,10,207,3,failure,0
2372,43,services,single,secondary,no,3403,yes,no,12,nov,11.78,2,97,2,success,1
2379,42,blue-collar,divorced,secondary,no,1491,yes,no,6,may,3.38,2,334,2,failure,0
2380,32,technician,single,secondary,no,6402,yes,no,6,may,2.63,1,167,1,success,0
2396,30,management,married,tertiary,no,877,no,no,13,aug,3.37,1,83,5,failure,0
2405,40,technician,married,secondary,no,0,yes,yes,26,jul,1.75,2,172,1,failure,0
2429,26,student,single,secondary,no,203,no,no,16,nov,1.73,1,196,1,failure,0
2430,52,technician,married,secondary,no,1818,no,yes,17,nov,3.15,2,111,4,failure,0
2431,42,unemployed,married,secondary,no,1289,no,no,15,jul,4.17,4,415,2,failure,1
2433,73,retired,married,primary,no,796,no,no,23,oct,7.12,1,182,2,failure,1
2438,39,management,married,tertiary,no,691,yes,yes,16,apr,8.62,1,255,1,failure,0
2444,35,management,married,secondary,no,724,yes,no,14,jul,4.78,2,415,1,failure,1
2446,30,blue-collar,married,secondary,no,-28,yes,no,18,may,4.73,2,371,1,failure,0
2447,46,blue-collar,married,primary,no,665,no,no,30,jan,1.48,4,235,2,failure,0
2449,36,management,married,tertiary,no,925,no,no,14,dec,5.35,3,189,4,success,1
2460,26,blue-collar,single,primary,no,155,yes,no,29,jan,4.85,1,244,4,failure,0
2474,32,management,married,tertiary,no,1667,yes,no,18,nov,2.73,2,179,3,failure,0
2478,50,admin.,divorced,secondary,no,769,no,no,28,jul,1.2,2,363,4,failure,0
2524,35,blue-collar,married,secondary,no,1257,yes,no,20,apr,1.55,3,329,7,failure,0
2529,48,management,single,tertiary,no,8106,no,no,17,nov,2.08,1,111,3,failure,0
2536,56,entrepreneur,divorced,primary,no,29,no,no,29,jan,0.87,2,227,1,failure,0
2539,44,technician,divorced,secondary,no,14,no,no,13,nov,2.78,1,92,1,success,1
2555,49,unemployed,married,tertiary,no,377,no,no,22,may,2.63,1,59,2,failure,0
2556,34,admin.,divorced,secondary,no,479,yes,no,12,may,8.58,1,350,5,failure,1
2560,44,blue-collar,married,secondary,no,1071,yes,no,11,may,2.38,3,357,1,failure,0
2563,55,admin.,married,secondary,no,865,yes,no,17,apr,1.42,1,151,1,failure,0
2583,52,technician,married,tertiary,no,2557,no,no,28,jan,2.23,5,204,2,success,1
2596,32,technician,married,secondary,no,4,no,no,4,feb,2.42,2,260,4,failure,0
2598,36,blue-collar,single,primary,no,367,no,no,2,feb,3.62,1,221,1,failure,0
2613,36,admin.,married,secondary,no,725,yes,no,27,feb,2.05,3,99,8,failure,0
2615,45,blue-collar,married,secondary,no,776,yes,no,6,feb,3.87,4,253,1,failure,0
2640,27,admin.,single,tertiary,no,3672,yes,no,15,may,2.62,2,351,5,failure,0
2653,45,blue-collar,single,secondary,no,0,yes,no,26,apr,24.53,1,192,4,failure,1
2659,59,admin.,married,secondary,no,92,yes,no,12,may,2.32,2,350,1,failure,0
2665,27,student,single,tertiary,no,3733,yes,no,22,may,3.3,1,98,6,success,1
2670,46,admin.,married,secondary,no,0,yes,yes,20,apr,3.98,2,259,2,failure,0
2673,35,self-employed,married,tertiary,no,560,yes,no,2,apr,0.97,1,136,1,failure,0
2675,29,management,single,tertiary,no,437,no,no,5,aug,8.4,1,92,1,success,1
2691,57,blue-collar,married,secondary,no,1521,yes,yes,18,may,1.7,2,178,5,failure,0
2699,37,blue-collar,married,primary,no,403,yes,no,8,may,5.3,2,338,1,success,0
2701,45,technician,divorced,secondary,no,809,yes,no,13,may,2.58,2,363,4,failure,0
2714,47,technician,divorced,tertiary,no,477,yes,no,7,may,16.22,1,366,1,failure,0
2719,32,technician,single,secondary,no,230,yes,no,18,may,7.37,1,266,8,failure,1
2728,60,admin.,married,secondary,no,-396,yes,no,11,may,7.38,1,350,1,failure,0
2745,34,management,married,tertiary,no,1657,yes,no,18,may,9.43,2,356,4,failure,0
2749,39,technician,married,secondary,no,994,no,no,5,feb,3.68,1,241,1,failure,0
2759,34,blue-collar,married,secondary,no,1221,yes,no,6,may,3.03,1,90,8,failure,0
2764,42,blue-collar,married,secondary,no,2157,yes,no,13,may,2.48,1,364,2,failure,0
2832,36,management,married,tertiary,no,1582,no,no,3,feb,0.43,2,197,1,failure,0
2846,47,blue-collar,married,primary,no,881,yes,no,14,may,2.38,1,370,2,failure,0
2847,38,technician,married,secondary,no,6728,no,no,25,nov,3.87,1,96,4,success,1
2849,40,self-employed,married,secondary,no,167,yes,yes,8,may,6.33,4,295,1,failure,0
2851,32,technician,single,tertiary,no,1625,no,no,22,may,13.27,1,109,1,failure,1
2859,23,blue-collar,single,primary,no,8627,yes,no,15,may,2.82,1,346,1,failure,0
2900,32,management,single,tertiary,no,697,no,no,7,aug,1.98,1,99,3,failure,0
2914,37,blue-collar,married,primary,no,655,yes,no,5,feb,2.12,2,258,4,failure,0
2917,41,technician,single,tertiary,no,1646,yes,no,4,feb,4.35,1,184,6,success,1
2918,29,admin.,single,tertiary,no,14,no,no,29,sep,1.45,1,120,1,failure,0
2923,39,admin.,married,secondary,no,260,yes,no,17,apr,2.43,1,281,1,failure,0
2924,49,blue-collar,married,secondary,no,2039,yes,no,6,may,7.52,1,169,2,failure,1
2949,46,blue-collar,married,primary,no,147,yes,no,6,may,1.93,2,169,3,failure,0
2951,36,technician,married,secondary,no,55,yes,no,13,may,0.63,2,369,4,failure,0
2956,35,management,married,tertiary,no,552,yes,yes,19,nov,5.23,2,124,1,failure,0
2961,32,blue-collar,married,secondary,no,1787,yes,no,12,may,1.45,4,357,4,failure,0
2968,46,blue-collar,married,secondary,no,4855,yes,no,10,aug,25.48,1,397,1,failure,0
2969,47,technician,married,tertiary,no,2408,no,no,12,aug,3.93,1,104,1,success,0
2971,37,blue-collar,married,secondary,no,346,yes,no,17,apr,6.5,1,316,1,failure,0
2977,38,entrepreneur,married,tertiary,no,1514,no,yes,21,nov,2.67,3,120,3,failure,0
2988,38,entrepreneur,single,secondary,no,2543,no,no,10,aug,3.72,1,414,4,failure,1
2990,56,blue-collar,married,primary,no,828,yes,no,14,may,3.57,1,349,1,failure,0
2992,47,housemaid,married,secondary,no,3940,yes,no,9,nov,2.85,2,96,5,success,0
3005,60,admin.,married,secondary,no,3735,no,no,22,dec,3.17,1,188,9,success,1
3007,44,blue-collar,married,secondary,no,508,yes,no,20,apr,3.7,1,154,1,failure,0
3022,37,blue-collar,married,secondary,no,342,yes,no,12,may,5.67,2,175,1,failure,0
3023,36,blue-collar,single,tertiary,no,1830,no,no,14,oct,3.05,1,91,11,failure,0
3027,40,management,married,tertiary,no,0,no,no,10,nov,2.45,1,96,8,success,1
3033,50,technician,divorced,secondary,no,-54,yes,yes,13,may,11.63,2,292,1,failure,1
3040,34,admin.,married,secondary,no,2374,yes,no,9,nov,2.68,1,209,2,failure,1
3041,32,admin.,single,secondary,no,92,yes,no,18,may,1.83,1,315,2,failure,0
3043,40,blue-collar,married,primary,no,1397,yes,no,12,may,0.97,2,334,1,failure,0
3058,38,technician,married,secondary,no,4030,yes,no,19,nov,1.25,2,177,5,failure,0
3060,52,admin.,married,secondary,no,0,no,no,22,apr,1.52,2,275,1,failure,0
3064,43,management,single,tertiary,no,1696,yes,no,26,aug,4.28,1,474,3,failure,1
3071,34,technician,single,secondary,no,347,yes,no,6,feb,2.57,2,197,6,failure,0
3088,31,technician,single,secondary,no,2544,no,no,15,jul,4.2,1,184,3,success,1
3092,46,management,married,tertiary,no,523,yes,no,6,may,1.75,4,366,2,failure,0
3094,56,retired,married,secondary,no,3948,no,no,3,apr,8.07,1,135,3,failure,0
3100,66,retired,married,primary,no,747,no,no,28,jan,3.38,3,93,1,failure,0
3115,39,self-employed,married,tertiary,no,585,yes,no,18,nov,0.8,1,181,3,failure,0
3119,28,technician,married,secondary,no,232,yes,yes,29,jan,1.2,1,261,1,failure,0
3132,53,self-employed,married,tertiary,no,451,yes,no,2,feb,2.08,1,249,2,failure,0
3141,32,admin.,single,secondary,no,678,yes,no,4,feb,26.32,1,246,4,failure,1
3145,45,technician,divorced,secondary,no,976,yes,no,17,apr,3.05,1,338,2,failure,0
3157,75,blue-collar,married,secondary,no,6053,no,no,11,feb,14.42,2,190,1,failure,0
3159,35,admin.,married,secondary,no,725,yes,no,20,nov,3.65,7,133,1,failure,0
3172,55,management,divorced,tertiary,no,481,yes,no,8,may,2.45,2,298,3,failure,0
3176,28,admin.,single,secondary,no,4745,no,no,12,may,6.0,1,181,5,success,1
3202,79,retired,married,primary,no,8556,no,no,18,jan,5.43,2,272,2,success,1
3205,77,retired,married,primary,no,680,no,no,27,nov,5.68,4,94,3,failure,0
3235,32,blue-collar,single,secondary,no,53,yes,no,18,nov,4.6,1,195,1,failure,0
3239,52,blue-collar,married,secondary,no,2087,yes,no,31,aug,4.45,1,474,1,failure,1
3243,27,management,single,tertiary,no,390,no,no,28,oct,3.17,1,82,1,success,0
3250,54,technician,married,tertiary,no,876,no,no,27,oct,4.48,3,541,3,success,1
3256,36,management,married,tertiary,no,495,no,no,12,mar,3.55,3,182,6,success,1
3263,35,management,married,tertiary,no,24,yes,no,8,apr,2.82,1,231,2,failure,0
3270,35,blue-collar,married,secondary,no,262,no,no,2,jul,1.6,2,109,4,success,0
3278,59,entrepreneur,married,primary,no,0,no,no,19,nov,3.45,2,153,1,failure,0
3281,33,technician,single,secondary,no,1279,yes,no,18,may,3.98,2,349,3,success,0
3295,32,technician,divorced,secondary,no,202,yes,no,4,feb,7.15,1,201,1,failure,0
3299,38,management,single,tertiary,no,427,yes,no,6,may,0.28,3,169,2,failure,0
3304,64,retired,married,tertiary,no,846,no,no,11,feb,11.18,1,181,3,failure,1
3314,35,self-employed,married,tertiary,no,980,no,no,2,aug,7.13,2,336,6,failure,0
3315,33,admin.,married,tertiary,no,79,yes,no,22,oct,4.15,2,335,2,failure,1
3317,25,management,single,tertiary,no,808,no,no,18,sep,4.45,2,114,2,failure,1
3335,29,blue-collar,married,secondary,no,228,yes,no,11,may,0.2,8,342,9,failure,0
3343,40,services,married,secondary,no,-378,yes,yes,13,may,9.02,1,295,6,failure,0
3346,55,admin.,married,secondary,no,865,yes,no,27,oct,1.6,1,111,3,failure,0
3350,31,admin.,married,secondary,no,389,yes,no,7,dec,1.15,1,185,2,failure,0
3365,34,entrepreneur,married,secondary,no,1847,yes,no,9,apr,9.05,3,321,6,failure,0
3368,57,services,divorced,secondary,no,4664,no,no,21,nov,0.37,4,114,1,failure,0
3370,31,student,single,tertiary,no,64,no,no,15,sep,3.47,1,105,2,success,0
3371,49,unemployed,married,tertiary,no,-471,yes,no,20,nov,1.28,3,185,7,failure,0
3408,38,management,single,tertiary,no,8669,yes,no,20,apr,0.08,3,150,6,failure,0
3412,45,admin.,married,secondary,no,72,yes,yes,15,may,4.37,2,352,2,failure,0
3429,41,blue-collar,married,primary,no,7735,yes,no,20,nov,3.67,1,190,1,failure,0
3434,29,management,single,tertiary,no,21,yes,no,14,may,1.78,4,371,3,failure,0
3446,38,services,married,secondary,no,8876,no,no,2,feb,4.67,1,75,1,failure,0
3462,34,blue-collar,married,secondary,no,360,yes,no,19,nov,0.77,1,182,2,failure,0
3471,46,blue-collar,married,primary,no,1291,yes,no,14,may,2.37,3,259,17,failure,0
3481,40,unemployed,married,secondary,no,0,yes,no,19,nov,5.53,1,183,1,failure,0
3484,30,management,married,secondary,no,-559,yes,yes,7,may,1.63,1,167,2,failure,0
3493,36,management,single,tertiary,no,-679,yes,yes,7,may,2.87,1,93,1,failure,0
3498,58,services,divorced,secondary,no,462,no,no,13,nov,8.25,1,93,1,success,1
3518,39,self-employed,married,secondary,no,31,yes,no,20,nov,1.02,2,181,4,failure,0
3519,54,technician,married,secondary,no,0,no,no,14,aug,2.65,2,106,6,success,0
3520,32,management,single,tertiary,no,347,yes,no,18,may,3.55,1,264,6,failure,0
3527,33,services,divorced,secondary,no,2411,yes,no,23,oct,2.17,1,161,1,failure,1
3534,47,admin.,single,secondary,no,1544,yes,no,6,apr,1.73,1,312,1,failure,0
3543,39,technician,married,secondary,no,6,yes,no,18,may,2.03,3,357,4,failure,0
3548,39,admin.,married,secondary,no,-650,no,no,15,may,2.05,2,364,1,failure,0
3574,34,housemaid,married,tertiary,no,0,no,no,26,may,2.35,1,188,1,failure,0
3584,46,blue-collar,married,secondary,no,-1400,yes,no,6,may,5.15,3,355,4,failure,0
3586,43,blue-collar,married,secondary,no,2160,no,no,8,sep,4.35,1,98,1,success,1
3593,42,blue-collar,single,primary,no,1628,yes,no,5,feb,1.98,1,195,8,success,0
3607,70,retired,married,secondary,no,1164,no,no,14,may,5.63,3,185,2,failure,0
3624,50,self-employed,married,tertiary,no,202,yes,no,15,apr,1.78,1,148,4,failure,0
3633,36,technician,married,tertiary,no,629,yes,yes,29,dec,1.82,1,246,1,failure,0
3641,27,student,single,secondary,no,268,yes,no,13,may,8.8,1,358,2,failure,0
3644,58,admin.,single,secondary,no,2223,no,no,4,dec,18.98,2,114,1,success,0
3654,30,management,single,tertiary,no,2,no,no,16,jun,1.7,1,85,1,failure,0
3665,26,services,single,secondary,no,5533,yes,no,7,may,9.7,2,283,4,failure,0
3669,42,admin.,single,secondary,no,30,yes,no,4,feb,1.63,1,266,3,failure,0
3674,39,management,single,tertiary,no,0,yes,no,12,may,9.35,4,369,3,failure,0
3682,43,management,divorced,tertiary,no,497,no,no,13,may,1.1,1,363,22,failure,0
3684,30,admin.,single,tertiary,no,305,no,no,30,apr,10.55,1,85,2,success,1
3689,29,technician,married,tertiary,no,858,yes,no,12,jun,3.9,7,330,1,failure,0
3690,80,housemaid,married,primary,no,0,no,no,23,feb,10.65,1,189,1,failure,1
3695,31,management,married,tertiary,no,1331,no,no,30,apr,4.95,1,86,3,success,1
3697,57,admin.,divorced,primary,no,179,yes,no,15,may,1.12,1,368,2,failure,0
3703,42,blue-collar,married,primary,no,-97,yes,no,3,feb,3.6,4,271,5,failure,0
3714,35,management,divorced,tertiary,no,434,yes,no,11,may,4.62,1,271,2,success,0
3724,37,housemaid,divorced,secondary,no,1040,yes,no,13,may,3.32,1,173,2,failure,0
3731,52,retired,married,secondary,no,424,no,no,19,nov,2.38,1,154,3,failure,0
3746,50,management,married,tertiary,no,-470,yes,no,19,nov,2.17,2,160,1,failure,0
3751,39,technician,married,secondary,no,116,no,no,24,aug,1.32,2,94,2,success,0
3756,42,services,married,secondary,no,96,yes,no,5,may,3.97,3,340,2,failure,0
3765,55,technician,divorced,secondary,no,3450,no,no,10,feb,2.82,1,183,1,failure,1
3775,41,management,divorced,tertiary,no,3355,no,no,14,oct,3.02,2,500,1,failure,0
3799,31,blue-collar,married,secondary,no,1664,yes,no,20,apr,2.63,1,182,1,success,0
3815,31,management,married,tertiary,no,623,yes,no,13,may,1.6,2,349,5,failure,0
3816,32,admin.,married,secondary,no,3540,yes,no,18,may,3.55,1,178,1,failure,0
3831,34,management,single,tertiary,no,8038,yes,no,20,apr,0.48,3,152,1,failure,0
3834,36,self-employed,married,secondary,no,189,yes,no,19,nov,2.27,1,120,1,failure,0
3835,29,housemaid,single,tertiary,no,19,no,no,5,feb,1.83,2,64,2,success,1
3844,39,admin.,married,secondary,no,607,yes,no,12,may,7.57,2,364,3,failure,1
3848,26,management,single,tertiary,no,1274,yes,no,1,jun,3.17,1,84,1,failure,0
3850,51,blue-collar,married,primary,no,377,yes,no,3,feb,2.38,4,272,1,failure,0
3869,36,management,divorced,tertiary,no,649,no,no,16,jul,3.95,2,91,1,failure,0
3874,26,student,single,tertiary,no,294,no,no,5,mar,1.45,1,91,2,success,1
3883,57,admin.,married,secondary,no,169,no,no,14,aug,3.0,1,106,2,failure,0
3884,36,self-employed,married,tertiary,no,506,no,no,25,aug,0.78,1,120,1,failure,0
3890,31,services,divorced,primary,no,459,yes,no,7,may,10.38,1,293,1,success,1
3896,36,blue-collar,married,primary,no,1177,no,no,15,apr,5.5,1,311,4,success,1
3922,48,blue-collar,married,secondary,no,1143,yes,no,17,apr,4.4,1,317,1,failure,0
3923,57,retired,married,primary,no,-464,yes,no,4,feb,1.25,1,190,6,failure,0
3931,47,admin.,married,secondary,no,3676,no,no,18,oct,9.45,1,95,3,success,1
3951,50,technician,single,secondary,no,246,yes,no,17,nov,4.5,1,123,2,failure,0
3952,44,blue-collar,married,primary,no,887,yes,no,12,may,2.75,2,363,1,failure,0
3972,50,self-employed,married,secondary,no,2061,yes,yes,29,jan,3.28,2,244,3,failure,0
3978,66,retired,married,tertiary,no,1948,no,no,28,jan,3.6,1,91,4,success,1
3981,43,blue-collar,single,secondary,no,24,no,no,12,may,1.13,1,363,1,failure,0
3985,43,blue-collar,married,primary,no,188,yes,no,12,may,0.97,3,347,5,failure,0
3998,44,management,married,tertiary,no,724,yes,no,17,nov,2.62,2,172,1,failure,0
4000,53,admin.,divorced,secondary,no,26,yes,no,7,may,0.93,1,359,1,failure,0
4005,55,blue-collar,married,primary,no,1086,yes,no,6,may,2.43,1,272,2,failure,0
4009,38,housemaid,divorced,secondary,no,70,no,no,27,oct,4.25,3,148,1,success,1
4019,43,technician,married,secondary,no,0,yes,yes,4,feb,8.98,8,204,5,failure,0
4030,38,blue-collar,divorced,secondary,no,0,yes,no,11,may,9.67,1,173,1,failure,0
4036,40,technician,married,secondary,no,4441,yes,no,20,nov,2.55,2,183,2,failure,0
4042,30,technician,single,tertiary,no,1185,yes,no,30,apr,4.73,1,339,1,failure,0
4044,32,blue-collar,married,secondary,no,2,yes,no,15,may,0.27,9,309,1,failure,0
4049,40,services,married,secondary,no,9374,yes,no,21,nov,0.12,8,185,1,failure,0
4054,28,technician,single,secondary,no,1532,no,no,22,may,4.22,1,107,5,failure,0
4065,70,retired,married,secondary,no,616,no,no,27,apr,2.48,2,182,1,failure,0
4066,36,services,married,secondary,no,3064,yes,no,26,aug,4.0,3,107,4,failure,0
4070,31,services,single,secondary,no,481,yes,no,20,nov,1.77,2,183,2,failure,0
4073,51,management,married,tertiary,no,176,yes,yes,1,jun,0.13,1,687,2,failure,0
4076,53,blue-collar,married,primary,no,53,yes,no,7,apr,3.47,1,140,1,failure,0
4080,40,blue-collar,married,primary,no,2805,yes,no,14,may,2.88,6,353,23,failure,0
4083,51,management,married,tertiary,no,1612,no,no,16,mar,6.4,1,182,5,failure,0
4093,69,retired,single,tertiary,no,2144,no,no,29,jul,6.95,1,184,4,success,1
4096,26,entrepreneur,married,tertiary,no,37,yes,yes,6,may,3.45,1,363,2,failure,0
4100,34,management,married,tertiary,no,436,yes,no,17,apr,0.47,1,345,1,failure,0
4126,33,services,single,secondary,no,358,yes,no,7,may,5.03,1,356,3,failure,0
4141,37,management,married,tertiary,no,0,no,no,11,mar,2.15,4,107,2,failure,0
4150,33,technician,married,tertiary,no,8023,no,no,25,feb,3.27,1,87,4,failure,0
4159,53,unemployed,married,secondary,no,94,no,no,10,aug,8.22,1,181,14,success,1
4160,57,retired,married,secondary,no,1044,no,no,11,jan,9.75,1,192,2,success,1
4169,35,services,divorced,secondary,no,221,yes,no,14,may,2.5,1,360,1,failure,0
4186,52,technician,married,tertiary,no,0,no,no,9,aug,2.42,3,94,4,success,0
4191,31,management,single,tertiary,no,1130,yes,no,17,apr,3.73,3,74,4,failure,0
4196,48,blue-collar,married,secondary,no,480,yes,no,15,may,13.83,1,352,2,failure,1
4201,36,unemployed,married,secondary,no,-872,yes,yes,20,nov,2.55,1,183,1,failure,0
4202,37,blue-collar,divorced,secondary,no,33,yes,no,20,nov,1.77,2,167,1,failure,0
4206,40,student,married,secondary,no,260,no,no,19,nov,0.87,1,152,6,failure,0
4207,57,technician,married,secondary,no,589,yes,no,2,feb,3.72,1,76,4,failure,0
4213,30,technician,single,secondary,no,-522,yes,yes,5,may,11.17,2,286,6,failure,1
4215,37,unemployed,married,secondary,no,1978,no,no,9,sep,6.73,1,182,1,success,1
4216,53,admin.,married,secondary,no,459,no,no,14,oct,5.28,6,192,1,success,0
4229,62,self-employed,divorced,tertiary,no,6,yes,no,13,oct,3.6,1,183,4,success,1
4232,38,technician,single,secondary,no,-242,yes,no,18,may,19.55,3,278,6,success,1
4251,33,management,single,tertiary,no,201,yes,no,19,nov,2.85,1,183,1,failure,0
4261,58,retired,married,secondary,no,3382,no,yes,28,may,4.9,2,309,2,failure,0
4272,50,technician,married,tertiary,no,199,yes,yes,3,feb,1.93,2,253,1,failure,0
4276,35,admin.,married,secondary,no,147,yes,yes,29,jan,0.68,1,184,7,failure,0
4281,52,management,married,secondary,no,335,no,no,21,oct,6.85,1,182,1,failure,1
4284,54,self-employed,married,secondary,no,641,yes,no,17,apr,7.87,1,148,2,failure,0
4290,40,services,married,tertiary,no,35,no,no,3,jul,5.3,4,317,3,failure,0
4309,40,services,single,secondary,no,1547,yes,no,12,may,1.47,2,173,1,success,0
4312,30,services,single,secondary,no,20,yes,no,20,apr,6.73,6,340,1,failure,0
4314,31,technician,single,secondary,no,1626,no,no,7,may,5.93,2,286,3,failure,0
4319,70,retired,divorced,secondary,no,6850,no,no,5,mar,4.2,3,183,1,failure,0
4323,83,retired,divorced,primary,no,0,no,no,31,may,11.07,1,77,3,success,0
4324,50,management,divorced,tertiary,no,100,yes,yes,13,may,2.62,1,299,3,failure,0
4343,51,blue-collar,married,primary,no,40,yes,no,13,may,1.32,1,370,1,failure,0
4347,32,admin.,married,secondary,no,0,yes,yes,17,nov,2.65,2,195,2,failure,0
4372,30,technician,single,secondary,no,4787,yes,no,18,nov,4.43,1,167,2,failure,0
4387,31,blue-collar,married,secondary,no,3653,yes,yes,21,nov,4.2,1,168,4,failure,0
4396,41,retired,single,primary,no,0,no,no,8,may,3.98,1,368,2,failure,0
4397,35,blue-collar,married,secondary,no,305,yes,no,18,may,0.12,7,367,25,failure,0
4413,65,retired,married,primary,no,493,no,no,16,oct,10.37,1,182,1,failure,0
4420,45,technician,married,secondary,no,999,yes,no,20,nov,3.58,6,188,2,failure,0
4423,45,management,single,tertiary,no,2048,yes,no,18,oct,5.17,1,804,1,failure,1
4433,40,management,married,tertiary,no,-17,yes,yes,11,may,7.9,1,256,1,success,1
4434,35,technician,single,secondary,no,175,yes,no,29,jan,3.65,1,246,1,failure,0
4435,31,technician,single,secondary,no,4888,yes,no,5,may,7.92,4,166,2,failure,0
4453,35,blue-collar,married,secondary,no,5304,yes,no,20,nov,5.67,1,183,2,failure,0
4456,37,management,married,primary,no,3953,yes,no,6,apr,10.17,2,138,1,failure,0
4458,29,management,single,tertiary,no,572,no,no,16,dec,5.23,1,195,1,success,1
4459,31,admin.,single,secondary,no,223,yes,no,17,apr,8.47,1,315,11,success,0
4463,33,technician,single,secondary,no,920,yes,no,21,nov,0.97,1,122,4,failure,0
4473,33,technician,married,secondary,no,4790,yes,no,20,apr,2.28,1,272,2,failure,0
4485,53,blue-collar,married,primary,no,238,yes,no,11,may,3.97,2,361,5,failure,0
4489,45,management,married,tertiary,no,6945,no,no,5,aug,2.18,5,356,3,failure,0
4492,32,technician,single,secondary,no,309,yes,yes,16,apr,5.77,1,234,3,failure,0
4504,42,blue-collar,single,secondary,no,1080,yes,yes,13,may,15.85,3,370,4,failure,1
4514,38,blue-collar,married,secondary,no,1205,yes,no,20,apr,0.75,4,153,1,failure,0
